,Beersheets_Rank,Value,Fantasypros_name,Position,Fantasypros_rank,Fantasypros_value,Position_rank,Bonus_adj,Pick
0,Antonio Brown (1),6.5,Antonio Brown,WR,1.2,6.46,1,8.361,1
3,Julio Jones (1),5.72,Todd Gurley,RB,4.4,5.688,1,7.991,2
4,Adrian Peterson (1),5.64,David Johnson,RB,5.5,5.595,2,7.898,3
1,Todd Gurley (1),6.3,Odell Beckham Jr.,WR,2.6,5.982,2,7.883,4
2,Odell Beckham (1),5.77,Julio Jones,WR,3.3,5.755,3,7.656,5
5,David Johnson (1),5.55,Ezekiel Elliott,RB,8.4,4.906,3,7.209,6
6,Jamaal Charles (1),5.08,Adrian Peterson,RB,8.5,4.9,4,7.203,7
9,Ezekiel Elliott (1),4.77,Lamar Miller,RB,10.0,4.77,5,7.073,8
7,Rob Gronkowski (1),4.93,A.J. Green,WR,8.6,4.894,4,6.795,9
8,Lamar Miller (1),4.87,DeAndre Hopkins,WR,8.7,4.888,5,6.789,10
10,Devonta Freeman (1),4.24,Dez Bryant,WR,11.4,4.204,6,6.105,11
13,LeSean McCoy (1),3.89,Jamaal Charles,RB,16.2,3.784,6,6.087,12
12,DeAndre Hopkins (1),4.09,Allen Robinson,WR,12.0,4.15,7,6.051,13
14,Doug Martin (1),3.8,Le'Veon Bell,RB,18.1,3.674,7,5.977,14
16,Cam Newton,3.76,Devonta Freeman,RB,20.6,3.46,8,5.763,15
20,Aaron Rodgers,3.42,Mark Ingram,RB,21.7,3.329,9,5.632,16
15,AJ Green (1),3.79,Brandon Marshall,WR,18.4,3.626,8,5.527,17
22,Brandon Marshall (1),3.06,Doug Martin,RB,22.9,3.083,11,5.386,18
21,Allen Robinson (1),3.29,Eddie Lacy,RB,22.9,3.083,10,5.386,19
17,Mark Ingram (1),3.69,Jordy Nelson,WR,20.9,3.43,9,5.331,20
18,Eddie Lacy (1),3.53,Mike Evans,WR,20.9,3.43,10,5.331,21
19,Dez Bryant (1),3.52,Alshon Jeffery,WR,21.6,3.342,11,5.243,22
26,Alshon Jeffery (1),2.84,LeSean McCoy,RB,26.3,2.875,12,5.178,23
29,CJ Anderson (1),2.64,C.J. Anderson,RB,29.6,2.66,13,4.963,24
23,Russell Wilson,3.02,Amari Cooper,WR,23.8,3.028,12,4.929,25
24,Thomas Rawls (1),2.98,Brandin Cooks,WR,24.0,3.02,13,4.921,26
11,LeVeon Bell (1),4.15,Rob Gronkowski,TE,11.7,4.177,1,4.897,27
25,Jordy Nelson (1),2.89,T.Y. Hilton,WR,24.9,2.984,14,4.885,28
27,Mike Evans (1),2.71,Keenan Allen,WR,26.9,2.845,15,4.746,29
28,Jordan Reed (1),2.69,Sammy Watkins,WR,29.4,2.67,16,4.571,30
31,Greg Olsen (1),2.39,Latavius Murray,RB,34.4,2.222,14,4.525,31
33,Carlos Hyde (1),2.23,Carlos Hyde,RB,39.8,2.048,15,4.351,32
30,TY Hilton (1),2.42,Demaryius Thomas,WR,33.8,2.244,17,4.145,33
38,DeMarco Murray (1),2.08,Thomas Rawls,RB,42.1,1.783,16,4.086,34
42,Drew Brees,1.72,Jeremy Hill,RB,45.1,1.647,17,3.95,35
34,Brandin Cooks (1),2.21,Randall Cobb,WR,40.3,2.031,18,3.932,36
35,Demaryius Thomas (1),2.15,Jeremy Maclin,WR,40.4,2.028,19,3.929,37
43,Andrew Luck,1.68,Matt Forte,RB,46.9,1.593,18,3.896,38
47,Coby Fleener (1),1.59,Jonathan Stewart,RB,50.0,1.39,19,3.693,39
40,Matt Forte (1),2.01,Jarvis Landry,WR,44.5,1.665,20,3.566,40
41,Jeremy Hill (1),1.79,Eric Decker,WR,44.9,1.653,21,3.554,41
44,Matt Jones (1),1.65,Doug Baldwin,WR,47.7,1.59,22,3.491,42
50,Delanie Walker (1),1.37,Frank Gore,RB,54.9,1.11,20,3.413,43
51,Jeremy Langford (1),1.3,DeMarco Murray,RB,55.2,1.108,21,3.411,44
46,Ryan Mathews (1),1.59,Donte Moncrief,WR,49.1,1.417,23,3.318,45
55,Eric Decker (2),1.1,Giovani Bernard,RB,58.7,0.992,22,3.295,46
58,Giovani Bernard (2),0.98,Ryan Mathews,RB,60.6,0.862,23,3.165,47
59,Kelvin Benjamin (1),0.88,Jeremy Langford,RB,60.9,0.853,24,3.156,48
62,Michael Floyd (1),0.83,Melvin Gordon,RB,62.7,0.833,25,3.136,49
63,Ben Roethlisberger,0.78,Duke Johnson,RB,65.3,0.737,26,3.04,50
66,Larry Fitzgerald (2),0.72,Matt Jones,RB,67.5,0.705,27,3.008,51
52,Randall Cobb (2),1.18,Larry Fitzgerald,WR,56.3,1.079,24,2.98,52
53,Gary Barnidge (1),1.11,Michael Floyd,WR,57.2,1.028,25,2.929,53
54,Frank Gore (1),1.11,Kelvin Benjamin,WR,57.3,1.027,26,2.928,54
56,Doug Baldwin (1),1.03,John Brown,WR,59.4,0.94,27,2.841,55
57,Golden Tate (1),1.02,Golden Tate,WR,60.2,0.874,28,2.775,56
72,Ameer Abdullah (1),0.48,Rashad Jennings,RB,73.8,0.456,28,2.759,57
75,Duke Johnson (2),0.44,Arian Foster,RB,75.8,0.442,29,2.745,58
60,Julian Edelman (1),0.85,Jordan Matthews,WR,62.2,0.838,29,2.739,59
61,Jarvis Landry (1),0.84,Julian Edelman,WR,62.3,0.837,30,2.738,60
65,Melvin Gordon (1),0.73,Tyler Lockett,WR,65.9,0.731,31,2.632,61
79,Donte Moncrief (2),0.37,Ameer Abdullah,RB,81.3,0.303,30,2.606,62
32,Latavius Murray (1),2.3,Cam Newton,QB,34.5,2.22,1,2.577,63
67,Tyler Eifert (1),0.69,Allen Hurns,WR,68.7,0.669,32,2.57,64
37,Sammy Watkins (1),2.09,Jordan Reed,TE,41.8,1.834,2,2.554,65
80,DeSean Jackson (2),0.33,Chris Ivory,RB,82.6,0.222,31,2.525,66
81,John Brown (3),0.24,Danny Woodhead,RB,84.1,0.196,32,2.499,67
69,Zach Ertz (1),0.59,Devante Parker,WR,72.4,0.51,33,2.411,68
70,Blake Bortles,0.57,Emmanuel Sanders,WR,72.8,0.49,34,2.391,69
36,Keenan Allen (1),2.12,Aaron Rodgers,QB,40.8,2.016,2,2.373,70
73,Eli Manning,0.45,Marvin Jones,WR,74.6,0.45,35,2.351,71
76,Emmanuel Sanders (2),0.44,DeSean Jackson,WR,76.7,0.44,36,2.341,72
84,Julius Thomas (1),0.16,LeGarrette Blount,RB,89.2,-0.098,33,2.205,73
45,Travis Kelce (1),1.62,Greg Olsen,TE,48.9,1.437,3,2.157,74
93,Matthew Stafford,-0.24,DeAngelo Williams,RB,90.0,-0.17,34,2.133,75
99,Andy Dalton,-0.39,T.J. Yeldon,RB,95.77777778,-0.2633333334,36,2.0396666666,76
39,Amari Cooper (1),2.04,Russell Wilson,QB,44.1,1.677,3,2.034,77
83,Jason Witten (1),0.2,Michael Crabtree,WR,87.1,0.125,37,2.026,78
94,Zach Miller (1),-0.24,Isaiah Crowell,RB,101.7,-0.39,35,1.913,79
48,Jonathan Stewart (1),1.42,Andrew Luck,QB,50.6,1.378,4,1.735,80
87,Allen Hurns (2),0.08,Sterling Shepard,WR,91.2,-0.204,38,1.697,81
96,TJ Yeldon (1),-0.3,Josh Gordon,WR,93.11111111,-0.2311111111,41,1.6698888889,82
90,Tyrod Taylor,-0.2,Kevin White,WR,96.4,-0.282,39,1.619,83
91,Eric Ebron (1),-0.22,Willie Snead,WR,98.4,-0.32,40,1.581,84
98,Isaiah Crowell (1),-0.32,Tavon Austin,WR,105.7,-0.39,43,1.511,85
97,Tyler Lockett (2),-0.32,Travis Benjamin,WR,104.5,-0.39,42,1.511,86
49,Jeremy Maclin (1),1.39,Drew Brees,QB,54.9,1.11,5,1.467,87
64,Antonio Gates (1),0.74,Travis Kelce,TE,65.3,0.737,4,1.457,88
68,Jordan Matthews (1),0.66,Delanie Walker,TE,70.5,0.58,5,1.3,89
78,Arian Foster (2),0.42,Coby Fleener,TE,79.9,0.375,6,1.095,90
71,Dion Lewis (1),0.53,Ben Roethlisberger,QB,73.7,0.459,6,0.816,91
74,Rashad Jennings (1),0.45,Carson Palmer,QB,75.2,0.448,7,0.805,92
77,Carson Palmer,0.43,Eli Manning,QB,78.8,0.422,8,0.779,93
86,Dwayne Allen (1),0.13,Julius Thomas,TE,90.8,-0.194,7,0.526,94
82,DeVante Parker (2),0.21,Philip Rivers,QB,86.6,0.13,9,0.487,95
89,Torrey Smith (1),-0.17,Gary Barnidge,TE,95.8,-0.264,8,0.456,96
92,Jameis Winston,-0.23,Zach Ertz,TE,98.7,-0.32,9,0.4,97
95,Michael Crabtree (2),-0.27,Antonio Gates,TE,102.1,-0.39,10,0.33,98
85,Philip Rivers,0.13,Blake Bortles,QB,89.6,-0.134,10,0.223,99
88,Danny Woodhead (2),-0.08,Tom Brady,QB,92.7,-0.227,11,0.13,100
