My Rank,Player,Position,ESPN Rank,Pick Target,Round Target,,,Pick #,Plan
29,Cam Newton,QB,35,33,3,,Round 1,9,WR
41,Aaron Rodgers,QB,49,40,4,,Round 2,16,RB
47,Russell Wilson,QB,50,40,4,,Round 3,33,WR/QB
67,Andrew Luck,QB,61,57,5,,Round 4,40,RB/QB
74,Drew Brees,QB,68,64,6,,Round 5,57,RB
96,Eli Manning,QB,88,88,8,,Round 6,64,RB/QB
97,Philip Rivers,QB,90,88,8,,Round 7,81,WR
99,Blake Bortles,QB,89,88,8,,Round 8,88,RB/TE
9,Jamaal Charles,RB,22,16,2,,Round 9,105,WR/TE/QB
30,Jeremy Hill,RB,41,33,3,,Round 10,112,
23,Latavius Murray,RB,55,40,4,,Round 11,129,
39,Frank Gore,RB,66,57,5,,Round 12,136,
46,Melvin Gordon,RB,63,57,5,,Round 13,153,
42,Giovani Bernard,RB,75,64,6,,Round 14,160,
63,Ameer Abdullah,RB,76,64,6,,Round 15,177,
76,LeGarrette Blount,RB,107,88,8,,Round 16,184,
81,Isaiah Crowell,RB,105,88,8,,Round 17,201,
64,Travis Kelce,TE,91,88,8,,Round 18,208,
75,Coby Fleener,TE,92,88,8,,Round 19,225,
87,Gary Barnidge,TE,109,105,9,,Round 20,232,
88,Zach Ertz,TE,110,105,9,,Round 21,249,
77,Julius Thomas,TE,136,136,12,,,,
116,Dwayne Allen,TE,175,160,14,,,,
15,AJ Green,WR,13,9,1,,,,
35,T.Y. Hilton,WR,36,33,3,,,,
66,John Brown,WR,70,64,6,,,,
68,Jordan Matthews,WR,71,64,6,,,,
69,Tyler Lockett,WR,83,81,7,,,,
72,Allen Hurns,WR,81,81,7,,,,
84,Michael Crabtree,WR,82,81,7,,,,
85,Sterling Shepard,WR,85,81,7,,,,
91,Willie Snead,WR,98,88,8,,,,
92,Josh Gordon,WR,97,88,8,,,,
93,Travis Benjamin,WR,113,112,10,,,,
112,Corey Coleman,WR,112,112,10,,,,